,question_id,subject_id,topic_id,difficulty_level,skill_id,concept_level
0,3072,2,0.0,2,0.0,H
1,3073,2,0.0,2,0.0,H
2,3075,2,0.0,2,0.0,H
3,3078,2,0.0,2,0.0,H
4,3082,2,0.0,2,0.0,H
5,3083,3,0.0,2,0.0,H
6,3084,2,0.0,2,0.0,H
7,3085,2,0.0,2,0.0,H
8,3086,2,0.0,2,0.0,H
9,3087,2,0.0,2,0.0,H
10,3088,2,0.0,2,0.0,H
11,3089,2,0.0,2,0.0,H
12,3090,2,0.0,2,0.0,H
13,3091,2,0.0,2,0.0,H
14,3092,2,0.0,2,0.0,H
15,3093,2,0.0,2,0.0,H
16,3094,2,0.0,2,0.0,H
17,3095,2,0.0,2,0.0,H
18,3096,2,0.0,2,0.0,H
19,3097,2,0.0,2,0.0,H
20,3098,2,0.0,2,0.0,H
21,3099,2,0.0,2,0.0,H
22,3100,2,0.0,2,0.0,H
23,3101,2,0.0,2,0.0,H
24,3102,2,0.0,2,0.0,H
25,3103,2,0.0,2,0.0,H
26,3104,2,0.0,2,0.0,H
27,3105,2,0.0,2,0.0,H
28,3106,2,0.0,2,0.0,H
29,3107,2,0.0,2,0.0,H
30,3108,2,0.0,2,0.0,H
31,3109,2,0.0,2,0.0,H
32,3110,2,0.0,2,0.0,H
33,3111,2,0.0,2,0.0,H
34,3112,2,0.0,2,0.0,H
35,3113,2,0.0,2,0.0,H
36,3114,2,0.0,2,0.0,H
37,3115,2,0.0,2,0.0,H
38,3116,2,0.0,2,0.0,H
39,3117,2,0.0,2,0.0,H
40,3119,3,0.0,2,0.0,H
41,3120,3,0.0,2,0.0,H
42,3121,3,0.0,2,0.0,H
43,3122,3,0.0,2,0.0,H
44,3123,3,0.0,2,0.0,H
45,3124,3,0.0,2,0.0,H
46,3125,3,0.0,2,0.0,H
47,3126,3,0.0,2,0.0,H
48,3127,3,0.0,2,0.0,H
49,3128,3,0.0,2,0.0,H
50,3129,3,0.0,2,0.0,H
51,3130,3,0.0,2,0.0,H
52,3131,3,0.0,2,0.0,H
53,3132,3,0.0,2,0.0,H
54,3133,3,0.0,2,0.0,H
55,3134,3,0.0,2,0.0,H
56,3135,3,0.0,2,0.0,H
57,3136,3,0.0,2,0.0,H
58,3137,3,0.0,2,0.0,H
59,3138,3,0.0,2,0.0,H
60,3139,3,0.0,2,0.0,H
61,3140,3,0.0,2,0.0,H
62,3141,3,0.0,2,0.0,H
63,3142,3,0.0,2,0.0,H
64,3143,3,0.0,2,0.0,H
65,3144,3,0.0,2,0.0,H
66,3145,3,0.0,2,0.0,H
67,3146,3,0.0,2,0.0,H
68,3147,3,0.0,2,0.0,H
69,3148,3,0.0,2,0.0,H
70,3149,3,0.0,2,0.0,H
71,3150,3,0.0,2,0.0,H
72,3151,3,0.0,2,0.0,H
73,3152,3,0.0,2,0.0,H
74,3153,4,0.0,2,0.0,H
75,3154,4,0.0,2,0.0,H
76,3155,4,0.0,2,0.0,H
77,3156,4,0.0,2,0.0,H
78,3157,4,0.0,2,0.0,H
79,3158,4,0.0,2,0.0,H
80,3159,4,0.0,2,0.0,H
81,3160,4,0.0,2,0.0,H
82,3161,4,0.0,2,0.0,H
83,3162,4,0.0,2,0.0,H
84,3163,4,0.0,2,0.0,H
85,3164,4,0.0,2,0.0,H
86,3165,4,0.0,2,0.0,H
87,3166,4,0.0,2,0.0,H
88,3167,4,0.0,2,0.0,H
89,3168,4,0.0,2,0.0,H
90,3169,4,0.0,2,0.0,H
91,3170,4,0.0,2,0.0,H
92,3171,4,0.0,2,0.0,H
93,3172,4,0.0,2,0.0,H
94,3173,4,0.0,2,0.0,H
95,3174,4,0.0,2,0.0,H
